コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,インプレッション数,インプレッションのクリック率 (%),平均視聴時間
q5UI2CVmyY8,SD-WANについて専門家に話を聞いてみました。,"Nov 5, 2019",2514,192,2740,5.18,0:05:00
G1latybZrEE,現役エンジニアが実践する在宅ワーク中の効率の良い『休憩時間』の過ごし方,"Jun 22, 2026",1300,189,4537,2.42,0:04:12
jXwMHSTqFJw,現場のネットワークエンジニアが愛用する仮想ネットワーク検証ツール Containerlab を解説,"Feb 17, 2025",1634,185,1795,5.29,0:06:15
sDK6la8Xg80,クラウドインフラ利用に向いているWebサービス・向いていないWebサービス,"May 13, 2024",1773,181,2860,3.18,0:07:54
HY68i7aNLGM,現役ネットワークエンジニアがInterop Tokyo2021のShowNetと各社展示ブースをレポートしてみました。,"Apr 19, 2021",2204,179,2215,6.32,0:03:30
G9338nvFDOM,各社のネットワーク構成がわかる「Peering DB」について話してみました,"May 10, 2021",2855,179,2824,3.68,0:11:48
NgtdT7_racI,「インフラエンジニア」と「ネットワークエンジニア」の違いを現役ネットワークエンジニアが解説,"Aug 26, 2024",2034,177,3201,3.94,0:07:08
Pm6nPx1_rKE,ネットワークの緊急事態を支える装置 「コンソールサーバー」について解説してみました【実機デモあり】【show int x セイコーソリューションズ コラボ企画】,"Mar 15, 2021",2264,171,1790,4.75,0:10:33
vGY0WcRg1oY,とまらないネットワークを作るための仕組み「 冗長化」を解説してみた,"Apr 11, 2022",982,161,1454,6.74,0:05:00
5_FF5TemRdM,【超入門2023⑦】「通信トラフィック」でみるインターネット,"Feb 26, 2024",813,161,1628,5.53,0:05:54
SrCsM_qxRhE,シリコンバレー企業の1on1ミーティングを再現してみた,"Dec 20, 2021",1855,159,1511,4.5,0:07:40
lt-jFA4rwwU,NTTが掲げる次世代構想 IOWN と APN (オールフォトニクス・ネットワーク) をざっくり解説,"May 20, 2024",1457,158,2270,4.41,0:04:15
sNwNY7jkRYw,20種類以上ある!? 100Gbps 光トランシーバー の正しい選び方を解説,"Jul 7, 2025",2891,151,2930,3.31,0:08:13
wPQCTZ6G5WU,開催直前!! JANOG57 in 大阪 のタイムテーブルを眺めてみよう 【JANOG57予習】【2/11-13開催】,"Feb 9, 2026",3036,143,4173,1.53,0:32:10
ssQo608m31o,「EVPNマルチホーミング」から学ぶ ネットワーク機器 冗長化技術 の過去と未来【JANOG52プレゼン解説】,"Oct 30, 2023",1904,142,1952,4.41,0:08:41
vbBJrTkIsYI,ネットワークエンジニア志望の学生/新卒におすすめのIT企業の選び方【就活】,"Jul 17, 2023",1605,140,1227,6.52,0:03:28
0FvRsZFAdUs,ネットワークエンジニアの新たな重要スキル Python について語ってみた,"Feb 13, 2023",1604,138,2534,4.03,0:05:24
OPLcqlxDKUQ,ネットワークエンジニアの給料事情についてぶっちゃけて話してみました。,"May 31, 2021",1350,134,2211,4.61,0:04:05
47BsTFssUR8,Interop Tokyo2023を支える ShowNet 構築の裏側,"Jul 6, 2023",2944,125,1511,6.62,0:07:57
ha__Bl8OUEM,ネットワーク自動化のプログラムをPythonで書いてみた,"Aug 21, 2023",1215,122,1114,6.55,0:04:48
NmkI0ZwXyLc,エンジニア人生で「楽しい仕事」のチャンスを掴み続けるためのテクニック【ノウハウ】,"Jan 19, 2026",1394,121,3279,1.71,0:05:14
dTeL-nUMvfE,KDDI が実現に成功した「ホワイトボックス・ルーター」を解説【JANOG52プレゼン解説】,"Sep 25, 2023",2059,108,996,4.72,0:09:28
8yJnGeNNhZc,ネットワークエンジニアの転職面接でされる質問と対策,"Nov 13, 2023",1820,103,1625,3.88,0:07:27
NU-2aNYGFd4,「踏み台サーバー」ってなに？ 運用失敗あるある事例と最新動向 【show int x セイコーソリューションズ コラボ企画】,"Jan 15, 2024",1926,103,1174,5.03,0:05:43
SOW6JQWjVjw,「 ネットワークエンジニアはやめとけ」と言わている件について現役ネットワークエンジニアが検証してみた,"Aug 23, 2021",1812,102,1928,2.75,0:04:20
5r2cx1IbsiM,エンジニア面接で面接官が注目しているポイントについて経験者が語ってみた【転職・就活】,"Dec 1, 2025",1482,100,2432,2.3,0:06:57
2q5wGbpl0kg,朝活してたら、たまたま Nintendo Switch 2 が買えた話。2台。,"Jul 21, 2025",2592,93,840,0.95,0:02:07
Xr31WBxfLis,ネットワーク機器を支える心臓部 ネットワークチップ（汎用シリコン/ASIC）の世界【ネットワークエンジニアの基本知識】,"Dec 16, 2024",2585,90,1333,2.55,0:07:48
t3cHXObUn64,ネットワーク機器メーカー 業界マップを作ってみた,"Jan 31, 2022",825,90,1075,5.49,0:02:50
j2GVuO4HRPU,【最新技術トレンド】ローカルブレイクアウトってなに？,"May 23, 2022",2068,89,1188,4.71,0:10:16
Rw3_WbD3sWk,仮想CPU について現役エンジニアが説明してみた【技術用語解説】,"Nov 24, 2025",1870,86,2434,2.05,0:09:06
5s7Dr9-OoHo,SIer企業の分類と特徴について話してみました,"Nov 8, 2021",1169,86,1235,3.97,0:04:19
EhUuXM54OBg,現役エンジニアが技術調査に活用するAIツール Google NotebookLM,"Nov 10, 2025",2410,85,1895,2.8,0:08:13
12gnSyLwErM,「フロー解析ってなんですか？」という疑問に現役ネットワークエンジニアが回答してみた #トラフィック解析 #sflow #netflow #IPFIX,"Oct 27, 2025",2517,84,2132,2.44,0:12:45
UveycHYTyNY,詳細解説はNG!? エンジニアが非技術系チームに技術説明する際のアンチパターン【エンジニアノウハウ】,"Jan 12, 2026",1145,83,2455,1.02,0:05:44
UvSrWVLRML4,次世代の公衆Wi-Fi 基盤 OpenRoaming（オープン ローミング） についてざっくり解説 【JANOG53プログラム解説】,"Jun 10, 2024",1438,82,1071,3.64,0:05:52
sS0pKmqxKjY,最新ネットワークアーキテクチャー CLOSネットワークについて解説します。,"Nov 9, 2020",2642,81,1239,1.94,0:05:13
XuzoGeunmAA,モバイルネットワーク専門家が教える MVNO 超入門 【show int x レンジャーシステムズ コラボ企画】,"Apr 14, 2025",2847,76,990,3.74,0:09:52
gNXVB1QPD7Q,「インターネットの中の世界」を現役ネットワークエンジニアが解説しました。,"Nov 30, 2020",2466,72,849,4.24,0:09:26
MRPW9sQjomE,ネットワーク企業がマルチベンダーを採用する理由,"Feb 7, 2022",1062,72,898,4.45,0:06:18
F8yF3htWIgI,ルーターってなに？,"Sep 25, 2020",1323,71,724,4.14,0:06:39
WhTu9Sf1wN0,国内最大級イベント Interop Tokyo 2023 に参加してきました,"Jun 26, 2023",1696,68,682,5.57,0:02:52
jQrzaRXby_s,最先端技術が生まれる世界の中心地 シリコンバレー に行ってきた,"Jun 24, 2024",1787,67,403,1.49,0:03:26
VU6p1KBxvro,ネットワークエンジニアが外資企業に転職して気づいた日本企業との違い４選,"Mar 3, 2025",2437,67,1074,3.72,0:06:06
AUoNMKpM6ik,「もし新人ネットワークエンジニアだったら何を学ぶ？」現役エンジニアがまじめに考えてみた,"Nov 1, 2021",1987,67,986,5.17,0:04:25
I4oF8jdg_ks,JANOG48開催直前！ネットワークエンジニアがJANOGに参加したほうがいい５つの理由について話してみました。,"Jul 5, 2021",2641,67,771,5.06,0:06:47
FjCNDp4XgnA,モバイルネットワーク専門家が語る「モバイルインターネットの過去・未来・現在」【3G・4G・5G】【ローカル5G】【6G時代は何がくる？】,"Jan 11, 2024",2040,66,794,5.54,0:08:25
_gPo71LPGnM,レイヤー1 (物理層)のプロに話を聞いてみました,"Apr 19, 2020",2471,66,1096,3.92,0:06:03
lXPyYjMJbto,０円でできる仮想ルーターを使ったネットワーク検証環境について話しました。,"Sep 13, 2021",1596,65,1049,4.29,0:05:29
p5MF5HCiNK8,在宅勤務歴5年の現役エンジニアが本音で語るフルリモートワークの苦悩,"Dec 8, 2025",1626,61,1964,1.53,0:08:34
yNPXhy-Psg0,現役ネットワーク運用エンジニアの1日のスケジュールを大公開,"Feb 24, 2025",1488,60,683,0.73,0:02:11
45e_mSygdfo,現役ネットワークエンジニアが「通信トラフィック」について話してみました,"Jan 25, 2021",3631,59,1113,3.32,0:15:08
f4Rb4HIuBJI,「ネットワークエンジニア未経験者歓迎！」は本当に未経験でもOKなのか,"Nov 28, 2022",920,59,1021,4.02,0:03:54
Kinac_z4UWY,「オンプレ」と「クラウド」をラクにつなぐ閉域接続サービスを解説してみた【show int x アット東京 コラボ企画】,"Aug 25, 2025",1664,59,1198,2.75,0:07:08
7gKKISb7Wlg,次世代のネットワークエンジニアに求められるスキルとは?,"Feb 8, 2021",1989,58,1126,3.11,0:08:02
RH6QYVKLCS4,グローバル企業で働くエンジニアが活用する ChatGPT 英会話学習法,"Dec 15, 2025",1543,57,1710,1.23,0:05:21
hcJJ8MfwUes,ミスが多い入社３年目の若手エンジニアにおくるアドバイス,"May 1, 2023",1928,57,823,3.28,0:04:53
XtTHr-x47oU,国内最大ネットワーク展示イベント Interop Tokyo 2024 に現地参加してきました,"Aug 19, 2024",1756,55,822,4.14,0:02:47
Y-CVCzwd5xU,JANOG56 in 松江の企業展示ブースを歩きまわる【JANOG56 後編】,"Sep 8, 2025",2695,54,1915,1.98,0:06:27
9oG0PzstWmA,30代後半 転職未経験者からの人生相談「人生で一度は転職は経験しておくべきか？」について議論してみた,"Jun 9, 2025",1333,51,838,1.07,0:04:26
If5wq2eXTNg,部下の「やらされ感」を無くすために上司/リーダーが仕事をお願いするときの要注意ポイント【ノウハウ】【マネジメント】,"Jan 26, 2026",1513,47,2171,1.01,0:08:03
5YEBng2U2oY,人事異動・退職時の「業務の引き継ぎ」は、なぜいつも不十分になるのか【エンジニアの仕事術】,"Sep 30, 2024",1312,46,851,2.7,0:07:10
eTKrch-rGmU,オライリー本を監訳しました！3年間にわたる監訳の裏側をお話します。【ネットワーク自動化とプログラマビリティ】,"Mar 7, 2022",2770,46,617,4.21,0:05:37
semsfskyHl8,広島大学で学生さんに向けて講演してきました【講演動画】【広島大学】,"Jun 2, 2025",3683,45,764,3.4,0:08:55
UfYs0YZHYuY,「一人前のネットワークエンジニアになるにはどうしたらいいの？」という質問に現役エンジニアが回答してみました。,"Jun 21, 2021",1476,45,692,3.32,0:06:25
XCSsqlBMUk0,物理(L1)作業はネットワークの仕事といえるのか、現役ネットワークエンジニアが感じる本当のところを話してみました。,"Sep 21, 2021",1301,45,465,4.95,0:06:29
o4hgbPBw2a0,新人エンジニアにおすすめしたい技術書籍 3選,"Apr 18, 2022",1759,44,478,5.65,0:04:18
OROymqO1M0M,オープンソースソフトウェアを導入する際の注意点とは【OSS・内製開発・メーカー製品を比較】,"Dec 22, 2025",1303,43,1767,1.02,0:06:05
mx8VcS6xH98,日本のインターネットの中心地「東京 大手町」について語ってみました,"May 17, 2021",537,43,430,4.42,0:02:33
moUiq5xf9Q4,Twitch 韓国からの撤退「韓国のネットワークコストが10倍」である理由,"Dec 11, 2023",2113,42,802,2,0:07:59
OVz-oS20TUs,Ansible x SmartCS のネットワーク自動化ハンズオンの紹介 【show int x セイコーソリューションズ コラボ企画】,"Sep 15, 2025",1751,42,1386,2.09,0:04:33
_9FbHgNN-QY,東京から広島に地方移住したネットワークエンジニアの話,"May 24, 2021",285,42,566,5.12,0:01:24
XQPIjZFm9us,人生における「重要な選択」を決断するための考え方,"Apr 15, 2024",1306,41,386,0,0:01:11
ENLn20MVxzo,運動不足のエンジニアに朗報!?  現役エンジニアが「とある運動」にハマっている話【エンジニア雑談】,"Jan 5, 2026",1182,41,2032,1.08,0:04:10
ttTcbbrOl5g,トップエンジニア育成プログラム「IIJアカデミー」を解説 【2期生募集中 10/31締切】,"Oct 11, 2023",1301,40,468,3.21,0:02:17
cw7LPi5XSj4,ネットワーク自動化ってなんで流行ってるの？,"Sep 19, 2020",2353,40,817,2.69,0:08:19
oWOc2uJtryA,ネットワークエンジニアに資格は果たして本当に必要なのか話してみました。,"Aug 30, 2021",1604,39,587,3.58,0:08:18
9zXv4anFW2A,文系出身でITスキル未経験者がIT企業で活躍するには何を勉強したらいい？,"Nov 17, 2025",1262,39,1576,1.78,0:04:33
1A_zqD3asP0,「エンジニアは土日も勉強すべきなのか？」の議論について現役エンジニアが思うこと,"Sep 12, 2022",1971,39,438,3.65,0:05:03
NpeYtWgHrBY,心配事で頭がイッパイッパイになったときの解決法【エンジニアの仕事術】,"Sep 16, 2024",1212,38,530,0.57,0:02:48
AXqZCYRQK1M,「ネットワークエンジニアに向いている人物像」について語ってみました。,"Feb 22, 2021",1423,38,602,4.65,0:05:40
ri7oa6-sLHs,show int の中の人 ネットワークエンジニアが転職した話,"Jul 1, 2024",988,37,605,3.47,0:03:25
MhBH2Xtbto0,仕事・育児で多忙なエンジニアにおすすめしたいゲームとの付き合い方【エンジニア雑談】,"Dec 29, 2025",1118,37,2052,1.12,0:05:52
iAifWMt9agQ,ネットワーク業界で働くセールスエンジニアの一日のスケジュール,"Jan 20, 2025",2242,36,681,2.64,0:02:03
8ertJdXKaE8,なぜあなたのおうちのインターネットは遅いのか?,"Sep 19, 2020",2936,35,753,2.12,0:13:46
Bg1-On1pLe0,ネットワークエンジニアの快適なリモートワーク環境に必要なもの,"May 8, 2023",1653,35,521,5.37,0:01:48
as9O-zhvU4s,たった１つのコンフィグで全メーカーのネットワーク機器に利用できる OpenConfig の活用事例【JANOG54プログラム紹介】,"Nov 25, 2024",1789,35,749,2.8,0:05:43
MsyDH9ZUero,サイバー攻撃の最新事情！ DRDoS攻撃 / NTP増幅攻撃 を解説してみた。,"Apr 25, 2022",2544,34,596,3.19,0:12:09
UOyu-Qo3m78,グローバル企業で働くために求められるエンジニアの英語力レベル,"Oct 7, 2024",1494,34,524,1.34,0:03:49
Wpsygy5zvcs,スキルアップや勉強で挫折しないための方法について話してみました。,"Sep 27, 2021",1603,33,495,4.24,0:07:56
NotrMF2s8Ls,ネットワーク系セールスエンジニアの 良い点・悪い点 を 業界10年超の現役エンジニアがまとめてみた,"Dec 30, 2024",1680,33,669,3.14,0:06:43
EqLZTM_DR6g,【未来予測】ネットワーク自動化によってネットワークエンジニアの仕事は無くなる？,"Oct 18, 2021",2264,33,729,3.16,0:08:54
AFN41TGU0Qc,ITエンジニアの職種を企業ごとにざっくり分類してみた,"Apr 17, 2023",1271,32,420,2.38,0:04:34
RSkBvJyJXqo,ネットワーク担当者が知っておくべき「ピアリング交渉」のはじめかた【show int x BIGLOBE】,"Mar 25, 2024",1882,32,576,2.6,0:08:54
kKFgkEDl82k,「エンジニア」から「マネージャー」になって仕事のやり方が激変した話,"Oct 13, 2025",2071,32,1214,0.91,0:05:32
DYRI4-y0i8Q,現役ネットワークエンジニアが「得意なこと・苦手なこと」をさらけ出してみた,"Apr 22, 2025",2273,32,868,1.5,0:07:39
2StmPESYmYk,AI時代にネットワークエンジニアの仕事はどう変わるのか【未来予測】,"Apr 3, 2023",2709,31,656,3.05,0:04:55
Yq3dY8MX0Y0,若手にオススメしたいネットワーク業界の定番イベント Internet Week 2025【show int x JPNIC コラボ企画】,"Oct 20, 2025",2149,30,1375,1.67,0:04:12
MlSNV9u6wpo,大規模 ISPでエンジニアとして活躍できる人材とは 【BIGLOBE 南 雄一さんインタビュー 後編】【show int x BIGLOBE】,"Mar 14, 2024",1869,30,395,3.04,0:05:46
nGdNHyyJrko,現役エンジニアが語る「ベンダーロックイン」の本当のところ,"Aug 10, 2021",1131,30,592,3.72,0:04:47
t1TCyl7Xg-0,最前線で闘うネットワークエンジニア 川上 雄也 さん #標準化 #IETF #RFC #3GPP #AI/ML【エンジニア対談】,"Nov 27, 2023",2229,30,344,1.45,0:03:48
wbMyttCwkXc,【インタビュー】BIGLOBEネットワークアーキテクト南 雄一さん【前編&後編まとめ】,"Mar 14, 2024",4185,29,612,2.29,0:11:30
zvvUixh33Ic,ネットワーク運用エンジニアの 良い点・悪い点 を 業界10年超の現役エンジニアがまとめてみた,"Dec 23, 2024",1768,29,701,1.85,0:04:28
mJmWOYmjVhY,ネットワークエンジニアの仕事の良いところ悪いところ,"Mar 14, 2022",1762,28,631,1.9,0:06:06
EnqjEN_7ngU,フルリモートワークで働く現役エンジニアが地方移住して一年半経って見えてきた実際のところ,"Jan 2, 2023",1868,28,459,3.27,0:05:16
qg9gG83Kg3k,「集中管理 vs 分散管理」ネットワーク技術のトレンドを紐解く【JANOG55プログラム解説】,"Aug 12, 2025",2978,28,907,1.1,0:07:21
Lk2Dv3nFHmk,「勉強してくれない若手エンジニア」に悩む上司・先輩は何をするべき？【新人教育】,"Apr 8, 2024",1295,28,623,1.77,0:04:16
z0W2U6jmDT8,ネットワークエンジニアから東京都 都庁に転職した平井 則輔さんと対談してみました。,"Oct 4, 2021",2079,27,481,3.53,0:03:41
NDjp_flODiI,セイコーソリューションズさんと振り返る show int 企業コラボの裏側,"Jul 12, 2021",2319,26,449,5.35,0:03:13
gWa3zPkok-8,eSports ゲーマー向けISP を調べてみたら、実は老舗ISPが運営していた話,"Jul 29, 2024",2143,26,604,1.82,0:05:06
l4ecxPTU4so,ネットワークエンジニアの一日のルーティンについて話してみました。,"Jan 11, 2021",953,25,541,3.88,0:02:47
BSFEFQkzPKQ,ネットワークインテグレーターのエンジニアの働き方【show int x レンジャーシステムズ】,"Feb 10, 2025",1790,25,726,2.2,0:04:18
K83YRt_jDY4,サイバーエージェントが構築した AI/ML専用インフラのネットワーク要件がヤバすぎた【JANOG52プレゼン解説】,"Oct 16, 2023",1613,25,645,2.33,0:08:43
oS8jHqa1HQw,クラウド時代のネットワークエンジニアの生存戦略,"Sep 26, 2022",1013,24,392,4.59,0:03:56
QkHoB17jIlw,インターネットの大原則「自律・分散・協調」を解説してみた。,"Mar 28, 2022",955,24,467,2.36,0:05:04
etQpnM6vZj0,「ネットワークエンジニアにとって英語は本当に必要か？」について話してみました。,"Jun 7, 2021",1598,24,398,3.77,0:04:26
daK0ZzaVaAQ,BIGLOBEネットワークアーキテクト南 雄一さんに聞く「美しいネットワーク設計とは」【前編】【show int x BIGLOBE】,"Mar 11, 2024",2497,24,490,2.65,0:06:42
YYbmk96gTkY,なぜあなたが作った自動化ツールは誰にも使われないのか,"Sep 4, 2023",1767,24,584,2.05,0:03:58
c-gG8WpT4u0,ネットワークエンジニアってどうやってなるの？就職方法について,"Sep 4, 2020",1328,23,602,3.32,0:04:39
M4Sdf6GlIoY,自動化に向いているネットワークインフラの共通点とは？,"Feb 15, 2022",1152,23,387,2.84,0:06:38
KnweWgTBFyg,新しい CDN 配信 のしくみ Open Caching (オープン・キャッシング) をざっくり解説【JANOG53プログラム解説】,"Jun 3, 2024",1326,23,657,1.37,0:02:40
AIzrqNrTJu0,若手女性エンジニア 髙木萌さんに聞く「ネットワーク業界に飛び込んだきっかけ」,"Apr 24, 2023",1919,22,402,1.99,0:03:26
X46yuXxS2OA,転職活動中に絶対にやってはいけない１つのこと【#100日後に退職する47歳】,"Oct 23, 2021",1390,22,348,2.59,0:04:38
T8W4juInmts,ネットワークチップ進化の展開予測 2025年~2026年【インターフェースの高速化・大容量化】,"Feb 3, 2025",2036,22,725,1.66,0:07:41
6Wrac0eR0m8,【JANOG51講演動画】ここがヘンだよ日本人の英語コミュニケーション 〜日本人特有の落とし穴を知り、グローバル社会でも活躍できるエンジニアになろう〜,"Mar 6, 2023",3160,22,894,0.56,0:07:02
1lLySfl582U,ChatGPT でルーターコンフィグを正しく作れるのか現役ネットワークエンジニアが検証してみた,"Jul 28, 2025",1423,22,862,1.62,0:03:59
FsUT4wX1L8A,ネットワークエンジニアが注目しておくべき最新技術カンファレンス 4選,"Jan 23, 2023",1675,22,424,4.48,0:03:39
kyDEzx8C3C4,失敗しないネットワーク機器の選定のコツとは,"Jan 24, 2022",1246,21,424,3.07,0:06:30
QGyoLTqCAoI,ネットワークエンジニアの効率の良い収入の増やし方について話してみました。,"Jul 11, 2022",998,21,376,3.72,0:09:30
UHsWBL6ZulU,人生初の転職活動を成功させた 神谷 が伝える「エンジニア転職の最新ノウハウ」,"Dec 25, 2023",2363,21,362,1.93,0:06:25
LJ3e2es0JSg,30〜40歳代の中堅エンジニアの生存戦略,"May 29, 2023",1399,21,647,2.01,0:02:58
qC6lKC8Pqis,ベテラン登壇者が語る「技術プレゼン」を成功させるコツ,"Apr 10, 2023",3540,20,262,2.29,0:05:04
bpWkGGo5a1Y,時代で変化するインターネットのパワーバランス,"Aug 8, 2022",2075,20,551,2.36,0:12:04
 -Ca3LruGU2A,IoT技術、エンジニアのスキルセットについて話してみました。,"Apr 7, 2019",2149,20,575,2.09,0:04:33
